Series,S,Years,Season,Episode,Name,Date,Holiday,link,Description,Cover
Supernatural,15,2005–2020,3,8,A Very Supernatural Christmas,13.12.2007,Christmas,https://www.imdb.com/title/tt1032140/?ref_=ttep_ep8,"In this Christmas episode, Sam and Dean track an ""anti-Santa"" who abducts victims through chimneys. Dean wants to celebrate as they used to, but Sam faces the reality that it might be their last Christmas together.",https://res.cloudinary.com/special-e/image/upload/v1682493363/Supernatural/A%20Very%20Supernatural%20Christmas/1.png
Supernatural,15,2005–2020,4,7,"It's the Great Pumpkin, Sam Winchester",30.10.2008,Halloween,https://www.imdb.com/title/tt1222614/?ref_=ttep_ep7,Sam and Dean investigate mysterious deaths in a town and uncover a witch's plan to summon an ancient and dangerous demon.,https://res.cloudinary.com/special-e/image/upload/v1682493384/Supernatural/It%27s%20the%20Great%20Pumpkin%2C%20Sam%20Winchester/1.png
Supernatural,15,2005–2020,5,14,My Bloody Valentine,11.02.2010,St. Valentine's Day,https://www.imdb.com/title/tt1588681/?ref_=ttep_ep14,"Castiel assists Sam and Dean as they track down Cupid, who is responsible for a string of love-related killings on Valentine's Day.",https://res.cloudinary.com/special-e/image/upload/v1682493408/Supernatural/My%20Bloody%20Valentine/1.png
Supernatural,15,2005–2020,11,13,Love Hurts,10.02.2016,St. Valentine's Day,https://www.imdb.com/title/tt5352054/?ref_=ttep_ep13,"In this Valentine's Day-themed episode, Sam and Dean investigate a series of murders caused by an ancient curse that marks its victims for death.",https://res.cloudinary.com/special-e/image/upload/v1682493697/Supernatural/Love%20Hurts/1.png
Supernatural,15,2005–2020,15,14,Last Holiday,8.10.2022,Thanksgiving,https://www.imdb.com/title/tt10717914/?ref_=ttep_ep14,"Dean and Sam find a wood nymph living in their bunker, who will do whatever it takes to protect her ""family"".",
Bones,12,2005–2017,1,9,The Man in the Fallout Shelter,13.12.2005,Christmas,https://www.imdb.com/title/tt0529896/?ref_=ttep_ep9,The gang is quarantined in the lab for Christmas and investigates a skeleton found in a fallout shelter.,https://res.cloudinary.com/special-e/image/upload/v1682495915/Bones/The%20Man%20in%20the%20Fallout%20Shelter/1.png
Bones,12,2005–2017,3,5,Mummy in the Maze,30.10.2007,Halloween,https://www.imdb.com/title/tt1117421/?ref_=ttep_ep5,"Booth and Bones investigate the discovery of two mummified girls and search for a missing girl while checking a fun house, Halloween maze, and church charity for leads.",https://res.cloudinary.com/special-e/image/upload/v1682495887/Bones/Mummy%20in%20the%20Maze/1.png
Bones,12,2005–2017,3,9,The Santa in the Slush,27.10.2007,Christmas,https://www.imdb.com/title/tt1143231/?ref_=ttep_ep9,"Brennan and Booth investigate the death of a Santa while trying to make the holiday special for their loved ones: Bones attempts to fulfill her father's Christmas wishes, while Booth copes with not being with his son.",https://res.cloudinary.com/special-e/image/upload/v1682496364/Bones/The%20Santa%20in%20the%20Slush/1.png
Bones,12,2005–2017,5,10,The Goop on the Girl,10.12.2009,Christmas,https://www.imdb.com/title/tt1541172/?ref_=ttep_ep10,"Brennan and Booth investigate a Santa Claus who blew himself up during a bank robbery. Meanwhile, Brennan plans to spend Christmas in El Salvador, but her father convinces her to stay with Margaret, a distant relative.",https://res.cloudinary.com/special-e/image/upload/v1682496687/Bones/The%20Goop%20on%20the%20Girl/1.png
Bones,12,2005–2017,11,8,High Treason in the Holiday Season,19.11.2015,Thanksgiving,https://www.imdb.com/title/tt5168236/?ref_=ttep_ep8,A journalist investigating corruption is found dead. Hodgins becomes paranoid over the investigation being monitored. The team gathers for Thanksgiving.,https://res.cloudinary.com/special-e/image/upload/v1682496970/Bones/High%20Treason%20in%20the%20Holiday%20Season/1.png
